src_ip,dst_ip,src_port,dst_port,protocol,iat_mean,pkt_size_mean,ip_flags_df,ip_flags_mf,ip_flags_rb,ip_frag_off,tcp_len_mean,ack_count,cwr_count,ece_count,fin_count,psh_count,res_count,rst_count,syn_count,urg_count,tcp_win_mean,udp_len_mean,icmp_type_mean,pkt_count,label
10.0.3.33,192.168.0.1,0,0,1,0.204006,98.0,45,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,4.0,90,normal
10.0.1.15,192.168.0.1,53212,8000,6,0.012029,117.94,1466,0,0,0,50.34,1319,0,0,291,438,0,0,294,0,8668.61,0.0,0.0,1466,normal
10.0.3.31,192.168.0.1,37454,8000,6,0.090594,118.19,194,0,0,0,50.71,169,0,0,33,53,0,7,42,0,9349.55,0.0,0.0,194,normal
10.0.3.31,192.168.0.2,55800,3306,6,0.190025,77.35,93,0,0,0,9.29,81,0,0,24,12,0,0,24,0,11130.74,0.0,0.0,93,normal
10.0.1.14,192.168.0.1,0,0,1,0.211396,98.0,42,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,4.0,84,normal
10.0.3.36,192.168.0.1,0,0,1,0.971915,98.0,9,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,4.0,18,normal
10.0.2.25,192.168.0.2,43324,3306,6,0.025618,77.28,679,0,0,0,9.23,592,0,0,174,87,0,0,174,0,11053.45,0.0,0.0,679,normal
10.0.2.21,192.168.0.1,44280,8000,6,0.033761,132.97,501,0,0,0,65.37,451,0,0,98,147,0,0,100,0,8628.14,0.0,0.0,501,normal
10.0.2.21,192.168.0.2,43840,3306,6,0.064759,77.08,245,0,0,0,9.15,212,0,0,60,33,0,2,62,0,10915.84,0.0,0.0,245,normal
10.0.2.24,192.168.0.2,39286,3306,6,0.128223,77.08,135,0,0,0,9.07,118,0,0,34,17,0,0,34,0,10864.76,0.0,0.0,135,normal
10.0.2.24,192.168.0.1,55872,8000,6,0.02363,4045.76,716,0,0,0,3978.81,670,0,0,49,321,0,4,88,0,5502.64,0.0,0.0,716,normal
10.0.3.35,192.168.0.1,39506,8000,6,0.04075,3168.45,404,0,0,0,3101.53,381,0,0,27,163,0,0,46,0,5046.39,0.0,0.0,404,normal
10.0.3.35,192.168.0.2,45114,3306,6,0.431956,77.28,39,0,0,0,9.23,34,0,0,10,5,0,0,10,0,11059.92,0.0,0.0,39,normal
10.0.1.13,192.168.0.2,36028,3306,6,0.053899,77.29,304,0,0,0,9.24,265,0,0,77,39,0,0,78,0,11067.13,0.0,0.0,304,normal
10.0.1.13,192.168.0.1,37774,8000,6,0.017755,4103.34,931,0,0,0,4036.32,871,0,0,71,436,0,0,119,0,5693.62,0.0,0.0,931,normal
10.0.2.23,192.168.0.1,41656,8000,6,0.079741,716.49,195,0,0,0,649.1,178,0,0,32,61,0,0,34,0,7548.15,0.0,0.0,195,normal
10.0.2.23,192.168.0.2,37280,3306,6,0.066169,76.96,249,0,0,0,8.96,218,0,0,62,31,0,0,62,0,10742.51,0.0,0.0,249,normal
10.0.3.36,192.168.0.1,43216,8000,6,0.433721,148.0,22,0,0,0,80.55,20,0,0,4,6,0,0,4,0,7866.91,0.0,0.0,22,normal
10.0.1.12,192.168.0.2,38596,3306,6,0.234698,76.56,50,0,0,0,8.64,44,0,0,12,6,0,0,12,0,10357.4,0.0,0.0,50,normal
10.0.1.12,192.168.0.1,42024,8000,6,0.039447,4438.36,418,0,0,0,4371.56,393,0,0,9,203,0,3,45,0,4702.26,0.0,0.0,418,normal
10.0.3.32,192.168.0.2,38030,3306,6,0.136395,77.33,101,0,0,0,9.27,88,0,0,26,13,0,0,26,0,11103.36,0.0,0.0,101,normal
10.0.3.32,192.168.0.1,55914,8000,6,0.02806,2059.96,559,0,0,0,1992.7,515,0,0,75,213,0,0,88,0,6842.4,0.0,0.0,559,normal
10.0.3.33,192.168.0.2,0,0,1,0.373161,98.0,22,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,4.0,44,normal
10.0.2.26,192.168.0.1,46682,8000,6,0.115713,126.93,123,0,0,0,59.5,112,0,0,22,33,0,0,22,0,7740.37,0.0,0.0,123,normal
10.0.3.33,192.168.0.1,51316,8000,6,0.212216,141.91,56,0,0,0,74.62,48,0,0,9,16,0,2,12,0,9253.68,0.0,0.0,56,normal
10.0.2.26,192.168.0.2,37660,3306,6,0.049935,76.84,319,0,0,0,9.17,270,0,0,68,49,0,12,80,0,10816.66,0.0,0.0,319,normal
