src_ip,dst_ip,src_port,dst_port,protocol,iat_mean,pkt_size_mean,ip_flags_df,ip_flags_mf,ip_flags_rb,ip_frag_off,tcp_len_mean,ack_count,cwr_count,ece_count,fin_count,psh_count,res_count,rst_count,syn_count,urg_count,tcp_win_mean,udp_len_mean,icmp_type_mean,pkt_count,label
10.0.3.32,192.168.0.1,49292,8000,6,0.022861,1676.64,860,0,0,0,1609.32,789,0,0,115,300,0,0,142,0,7186.83,0.0,0.0,860,normal
10.0.3.32,192.168.0.2,45204,3306,6,0.35891,77.62,53,0,0,0,9.51,46,0,0,14,7,0,0,14,0,11391.3,0.0,0.0,53,normal
10.0.2.21,192.168.0.2,45322,3306,6,0.048318,77.03,392,0,0,0,9.32,331,0,0,88,61,0,12,100,0,11001.54,0.0,0.0,392,normal
10.0.2.21,192.168.0.1,51242,8000,6,0.027074,130.22,721,0,0,0,62.7,652,0,0,136,204,0,0,137,0,8217.0,0.0,0.0,721,normal
10.0.2.24,192.168.0.1,38726,8000,6,0.024522,4347.14,756,0,0,0,4280.24,708,0,0,41,342,0,7,90,0,5408.0,0.0,0.0,756,normal
10.0.2.24,192.168.0.2,55346,3306,6,0.090219,77.21,212,0,0,0,9.17,185,0,0,54,27,0,0,54,0,10987.42,0.0,0.0,212,normal
10.0.2.26,192.168.0.1,45708,8000,6,0.096513,120.34,199,0,0,0,52.73,179,0,0,38,57,0,0,40,0,8688.26,0.0,0.0,199,normal
10.0.1.12,192.168.0.2,56002,3306,6,0.194114,77.31,70,0,0,0,9.26,61,0,0,18,9,0,0,18,0,11091.29,0.0,0.0,70,normal
10.0.1.12,192.168.0.1,39530,8000,6,0.03524,4712.43,532,0,0,0,4645.71,508,0,0,4,254,0,3,48,0,3958.86,0.0,0.0,532,normal
10.0.2.26,192.168.0.2,60406,3306,6,0.066281,76.95,299,0,0,0,9.32,251,0,0,65,48,0,11,76,0,10961.64,0.0,0.0,299,normal
10.0.3.34,192.168.0.1,44864,8000,6,0.046267,5947.45,402,0,0,0,5880.76,383,0,0,5,206,0,4,36,0,4370.08,0.0,0.0,402,normal
10.0.1.14,192.168.0.1,0,0,1,0.216593,98.0,46,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,4.0,92,normal
